Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images,images links,,
BC Schizophrenia Society Branch Prince George,Any mental illness or addiction,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, eating, anorexia, bulimia, binge, addiction, substance use, emotion",Northern,Prince George,"1139 – 6 Avenue, Prince George, BC",V2L 5G5,reception@bcsspg.org,250-564-3396,https://bcsspg.org/,Active,Family support group,N/A,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d587.4990837731144!2d-122.74628868549891!3d53.914041031770644!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x538898e6af333795%3A0x387bfa75c13e1486!2sPrince%20George%2C%20BC%20V2L%205G5!5e0!3m2!1sen!2sca!4v1736310482990!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/mentalhealth.jpg,https://unsplash.com/photos/woman-in-brown-sweater-covering-her-face-with-her-hand-_sh9vkVbVgo,,
BCEdAccess,Students with disabilities/complex learners,"disability, special need, developmental, learning, cognitive, child, delay",All of BC,,only online,n/a,tracy@bcedaccess.com,n/a,https://bcedaccess.com/,Active,"Information and support for individual families, educators and organizations about the human right to equitable access to education, as well as advocating to government for systemic change",N/A,Youth only,Free,Virtual only,,,images/autism2.jpg,https://unsplash.com/photos/boy-holding-block-toy-ecRuhwPIW7c,,
Better At Home,Aging Needs,"visiting, transportation, cleaning, visits, home help",All,,,NA ,info@betterathome.ca,604.268.1312,https://betterathome.ca/,Waitlist,"Better at Home services vary from community to community. They are designed to complement existing services and are based on the unique needs of local seniors.
 
 Examples include:
 
  Friendly visiting
  Transportation
  Light yard work
  Minor home repairs
  Light housekeeping
  Grocery shopping
  Snow shoveling",,,Free/Out of pocket,,Supporting the non-medical needs of older adults in B.C.,,images/elderly2.jpg,https://unsplash.com/photos/man-and-woman-walking-on-road-during-daytime-PpZasS086os,,
Brain Tumour Support Group - Vancouver/Victoria,Brain cancer,"brain, cancer, tumour, tumor, neuro, cerebral, neoplasm, intracranial, central nervus system, glioma, astrocytoma, glioblastoma, meningioma, medulloblastoma, pituitary adenoma, schwannoma, craniopharyngioma, ependymoma, brain carcinoma",VCH,Vancouver,N/A,N/A,N/A,604-877-6000 ext. 672194,https://www.braintumour.ca/support-group/vancouver-support-group-affiliated/,Active,"Brain Tumour Support Groups open to anyone impacted by a brain tumour (survivors, patients, caregivers, family and friends) to share experiences and gain peer support in a safe and relaxed atmosphere.

They can also connect you with support resources on facebook as well as one on one support. ",N/A,Youth and adults,Free,Virtual only,,,images/brain3.jpg,https://unsplash.com/photos/plasma-ball-digital-wallpaper-OH5BRdggi2w,,
Brain Wellness BC,Brain Health,"brain, stroke, head, cognitive",VCH,Vancouver,2215 Wesbrook Mall,"Provincial & 
V6T 1Z3""",brain.wellness@ubc.ca,604-827-4386,https://www.bcbrainwellness.ca,Active,"We offer evidence-informed lifestyle and wellness programs for individuals living with chronic brain conditions, their care partners, and healthy agers. We integrate active research and education in all that we do. Our program empowers individuals to tailor their participation to physical and cognitive abilities, rather than diagnostic labels. Our ongoing delivery of classes supplements traditional medical care and can lead participants to a better quality of life",,,Free,,https://www.bcbrainwellness.ca/classes/get-started,,images/wellness1.jpg,https://unsplash.com/photos/woman-doing-yoga-near-trees-jQqn81J-PhQ,,
BrainTrust Canada,TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Interior,Kelowna,"11 – 368 Industrial Avenue, Kelowna, B.C. V1Y 7E8",V1Y 7E8,Jolene Hansen Community Support Coordinator: jhansen@braintrustcanada.com,1(250)762-3233 ext. 103,https://braintrustcanada.com/contact/,Active,"Support group, group programs, connection to resources",English,Adults only,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d908.6796309747344!2d-119.4962336752045!3d49.89628535959994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x537df3867723b351%3A0x69786f14a0b4e777!2sCentral%20Okanagan%20Brain%20Injury%20Society!5e0!3m2!1sen!2sca!4v1736289595657!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/trauma.jpg,https://unsplash.com/photos/a-person-holding-out-their-hand-to-a-bunch-of-bottles-rOhrXkVCe-4,,
British Columbia LGBT End-of-Life Resource Inventory,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,,https://www.positivelypositive.ca/hiv-aids-news-4/LGBT_End-of-Life_Inventory.pdf,Active,"We provide a physically and emotionally safe environment, with activities geared towards the specific needs of those experiencing symptoms of Young Onset Dementia. Paul's Club opened in 2012 and is the first and only program of its kind in Vancouver.
 
 The Club has a warm, welcoming atmosphere and is designed to be fun!",,,Out of pocket,,,,images/lgbt.jpg,https://unsplash.com/photos/two-women-standing-near-curb-during-daytime-2KSc1toxle8,,
British Columbia Schizophrenia Society ,Schizophrenia,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, mental health",VCH,Vancouver,"1100-1200 W. 73rd Ave, Vancouver",V6P 6G5,info@bcss.org,1.888.888.0029,https://www.bcss.org/,Active,"Education, support groups, events.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2606.8177300396433!2d-123.1356641231851!3d49.20401717632111!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548674e94811b44b%3A0x159606fb3ffc0b72!2s1200%20W%2073rd%20Ave%20%231100%2C%20Vancouver%2C%20BC%20V6P%206G5!5e0!3m2!1sen!2sca!4v1736288100466!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/schizo.jpg,https://unsplash.com/photos/womans-portrait-mC852jACK1g,,
Canadian Addison Society,Addison disease and other forms of adrenal insufficiency,"endocrine, hormonal, gland, endocrinology, signalling, hormone, secretion, pathway, addison, adrenal",All,,N/A,N/A,info@addisonsociety.ca,1-888-550-5582,https://www.addisonsociety.ca/support-group-meetings.html,Active,Support groups.,English,Youth and adults,Free,Both virtual/in-person,,,images/diabetes5.jpg,https://unsplash.com/photos/a-thermometer-and-a-thermometer-on-a-table-PbhGUUWlAmA,,
Canadian Centre for Elder Law,Advance Care Planning,"Legal, advice, wills, advance care planning, POA, MOST, will, expected at home, edith, rights, abuse, law, lawyer",All,Vancouver,1822 East Mall UBC,NA,bcli@bcli.org,(604) 822-0142,https://www.bcli.org/sectors/ccel/,Active,"The Canadian Centre for Elder Law (CCEL) conducts research, and develops reports and educational tools on legal and policy issues related to aging. The CCEL collaborates with community stakeholders and organizations to identify and address subjects that impact older people.",,,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3095.948860624094!2d-123.25751108139688!3d49.269342302894785!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548672c9de2a6f2d%3A0xb396b434eda18264!2s1822%20East%20Mall%2C%20Vancouver%2C%20BC%20V6T%201Z1!5e0!3m2!1sen!2sca!4v1736311545402!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/law.jpg,https://unsplash.com/photos/person-holding-pencil-near-laptop-computer-5fNmWej4tAA,,
Canadian Congenital Heart Alliance,Congenital Heart Disease,"congenital, heart, defect, cardiac, fetal, birth, pediatric ",National,Vancouver,"3230 Yonge Street, Suite 2001, Toronto, ON",M4N 3P6,Julie Bard at BChearts@cchaforlife.org.,,https://www.cchaforlife.org/british-columbia,Active,"Adult congenital heart disease (ACHD) cardiologist clinic locator for patients/families lost to follow up, mental health support resource links (not directly through their organization), information to support transition to adult care from pediatric care, ""Beat Retreat"" -- camp experience for adults with CHD (costs $150 the rest subsidized by charity)",Resources in English and French,Youth and adults,Free,Both virtual/in-person,"They are based out of Toronto, but have a BC chapter. Contact information for the BC chapter is Julie Bard at BChearts@cchaforlife.org","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2883.097289371142!2d-79.40615442341846!3d43.729305747504576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b32e8329d0325%3A0x28f8912d4ce5b6b2!2sCanadian%20Congenital%20Heart%20Alliance!5e0!3m2!1sen!2sca!4v1736288769793!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/heart2.jpg,https://unsplash.com/photos/a-model-of-a-human-heart-on-a-white-surface-MhFJNz_D8t4,,
Canadian Mental Health Association; BC Division,Anxiety/behavioural issues in children,"anxiety, behaviour, worry, stress, mood, neuro, mental, brain, cognitive, ADHD, attention, agitation, conduct, disruptive, emotion",VCH,Vancouver,"Suite 905 – 1130 West Pender Street, Vancouver BC",V6E 4A4,help@cmha.bc.ca,Phone 604-688-3234; Toll-free phone (BC only) 1-800-555-8222,https://bc.cmha.ca/programs-and-services/,Active,"""Confident Parents: Thriving Kids"" is a telephone consultation program for parents of children with anxiety or behavioural challenges. ""We are Indigenous: Big Worries/Fears, Parents/Caregiver Support Program"" is a telephone/computer based CBT integrated coaching service for Indigenous parents who have children specifically aged 3-12 experiencing anxiety specifically. Occasional webinars. ",N/A,Adults only,Free,Virtual only,Caregiver programs specifically made for parents,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10409.660630641669!2d-123.13186256265875!3d49.287478244199534!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548671816942cbb7%3A0x9af13bc98ea99e08!2sCanadian%20Mental%20Health%20Association%2C%20BC%20Division!5e0!3m2!1sen!2sca!4v1736310655095!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/mentalhealth2.jpg,https://unsplash.com/photos/a-man-sitting-in-a-chair-in-a-room-0Zg-9QGS0gg,,
Canadian Pulmonary Fibrosis Foundation All Health Regions,Pulmonary Fibrosis,Pulmonary Fibrosis,All,Vancouver,"3250 Bloor Street West East Tower, Suite 600 Toronto, ON",M8X 2X9,info@cpff.ca,905-294-7645,https://cpff.ca/get-involved/support-groups/,Active,National Virtual Caregiver Support Group,English,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2887.118163027632!2d-79.5236447234218!3d43.64570985291469!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b37add2aedd63%3A0x3d098b41dc804ea3!2sRegus!5e0!3m2!1sen!2sca!4v1736289158560!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/lung1.jpg,https://unsplash.com/photos/a-woman-in-a-white-tank-top-with-a-mask-on-her-face-ef_jj8ZOeBM,,
Canadian Pulmonary Fibrosis Foundation Providence Health,Pulmonary Fibrosis,Pulmonary Fibrosis,Providence,Vancouver,"3251 Bloor Street West East Tower, Suite 600 Toronto, ON",M8X 2X10,info@cpff.ca,905-294-7645,https://cpff.ca/get-involved/support-groups/,Active,Vancouver Pulmonary Fibrosis Support Group,English,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2887.118163027632!2d-79.5236447234218!3d43.64570985291469!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b37add2aedd63%3A0x3d098b41dc804ea3!2sRegus!5e0!3m2!1sen!2sca!4v1736289170695!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/lung2.jpg,https://unsplash.com/photos/a-woman-using-an-electric-toothbrush-to-brush-her-teeth-9eVyni41rmk,,
Canadian Pulmonary Fibrosis Foundation Victoria,Pulmonary Fibrosis,Pulmonary Fibrosis,Vancouver island,Victoria,"3252 Bloor Street West East Tower, Suite 600 Toronto, ON",M8X 2X11,l.koshowski@gmail.com,905-294-7645,https://cpff.ca/get-involved/support-groups/,Active,Vancouver Island Pulmonary Fibrosis Support Group,English,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2887.1181630276315!2d-79.52364472342178!3d43.6457098529147!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b37add2aedd63%3A0x3d098b41dc804ea3!2sRegus!5e0!3m2!1sen!2sca!4v1736289195622!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/lung3.jpg,https://unsplash.com/photos/a-woman-holding-a-video-game-controller-in-her-right-hand-y4iCyVOG5pY,,
Cardiac BC,"Arrhythmia, congenital heart disease, heart failure, valvular disease","Arrhythmia, congenital heart disease, heart failure, valvular disease",VCH,Vancouver,1333 West Broadway,V6H 1G9,none,604-675-7400,http://www.cardiacbc.ca/health-info/coping-support#Resources,Active,Provides education on various heart diseases and how to help care for someone with a cardiac condition. ,N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d193.5185007681335!2d-123.13436078775753!3d49.26381003575014!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c6efe85a8f%3A0x1ff4097e5e6525cd!2s1333%20W%20Broadway%2C%20Vancouver%2C%20BC%20V6H%201G9!5e0!3m2!1sen!2sca!4v1736288715022!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/heart1.jpg,https://unsplash.com/photos/shallow-focus-photography-of-green-leaf-7URiS9J_Rh8,,
Celiac Canada,Celiac Disease,"celiac, gluten free, gluten sensitivity",All,All,N/A,N/A,info@bcceliac.ca,1-800-363-7926 ext 224.,bcceliac.ca ,Active,"Dietician, Support Group, Information, Gluten Free Recipes",english,Youth and adults,Free,Both virtual/in-person,,,images/celiac1.jpg,https://unsplash.com/photos/brown-bread-on-brown-wooden-table-GiZpEGtebg0,,
Cerebral Palsy Association of BC,Cerebral palsy,"CP, cerebral, palsy, motor, neuro, muscular, neuromuscular, brain, injury",VCH,Vancouver,330 – 409 Granville Street,V6C 1T2,info@bccerebralpalsy.com,604.408.9484,https://www.bccerebralpalsy.com/,Active,"Recreational activities, counselling and family support, financial and legal resources",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d162.65797187526982!2d-123.11470019415013!3d49.28534888624163!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548671827f59fd25%3A0x666229774bbe6719!2s409%20Granville%20St%20%23330%2C%20Vancouver%2C%20BC%20V6C%201T2!5e0!3m2!1sen!2sca!4v1736310873788!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/autism4.jpg,https://unsplash.com/photos/a-drawing-of-a-human-brain-in-a-white-background-StgBbODEWPs,,
Child Health BC,All,"child, pediatric, fetal, fetus, newborn, neonate, mother, maternal, family, caregiver, caregiving, healthcare, children, BC, british columbia",VCH,Vancouver,"260 - 1770 West 7th Avenue, Vancouver, BC ",V6J 4Y6,chbcadmin@cw.bc.ca,(604) 877-6410,https://childhealthbc.ca/,Active,"Database for education, resources, medical services, etc.",English,Youth only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d162.7242491111143!2d-123.14539124646744!3d49.26525477448272!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673b79584c4cf%3A0x2a076a506f4844be!2sVancouver%2C%20BC%20V6J%204Y6!5e0!3m2!1sen!2sca!4v1736311119734!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/childhealth.jpg,https://unsplash.com/photos/person-holding-amber-glass-bottle-0MoF-Fe0w0A,,
Children's Heart Network of BC,,"congenital, heart, defect, cardiac, fetal, birth, pediatric ",Fraser health,Burnaby,"5151 Canada Way, Burnaby, BC",V5E 3N1,chn@childrensheartnetwork.org,604-521-3037 or 1-877-833-1773 (toll free),,Active,"Family events, summer camps, hearts of gold youth programs and leadership program, parent workshops and resources including CPR training, parent coffee groups.",N/A,Youth and adults,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d193.61583290808179!2d-122.96244659778253!3d49.23898675121154!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548677a68ae0b8b1%3A0x36992377c8536d8a!2s5151%20Canada%20Wy%2C%20Burnaby%2C%20BC%20V5E%203N1!5e0!3m2!1sen!2sca!4v1736288750584!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/family2.jpg,https://unsplash.com/photos/a-group-of-women-sitting-next-to-each-other-on-a-couch-L203i9Xi_XE,,
CMV Canada,Congential Cytomegalovirus Infections,"congenital, birth, CMV, cytomegalovirus, infection",National,,"PO Box 27072, Winnipeg Square Winnipeg, MB",R3C 4T3,info@cmvcanada.com,N/A,https://cmvcanada.com/contact-us/,Active,"(1) raising awareness about CMV through website, social media, newsletters, campaigns, presentations, conferences aimed at public and healthcare providers; (2) supporting CMV community by creating resources for caregivers, link families to local support, collaborate with parent advisory committees",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2570.071192528823!2d-97.12333772315384!3d49.897466727024955!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x52ea7138d6d58365%3A0x73e5516b2e739f52!2sCMV%20Canada!5e0!3m2!1sen!2sca!4v1736288547107!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/birth.jpg,https://unsplash.com/photos/greyscale-photo-of-medical-operation--P2djqAwM8U,,
Community Living BC,"Adults with development diabilities, including FASD and ASD","disability, disable, disabilities, special need, developmental, access, cognitive, learning, neuro, brain, mind, alcohol, adult, ASD, FASD, intellectual, CP, cerebral, syndrome, spina, muscular, tourette, epilepsy, speech",VCH,Vancouver,1200 – West 73rd Avenue,V6P 6G5,CLBCInfo@gov.bc.ca,604.664.0101,https://www.communitylivingbc.ca/,Active,"Housing supports, employment supports, family supports",N/A,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d83411.06726391045!2d-122.99613420083304!3d49.20822590323844!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x417190c24648e003%3A0x26b7ec60269ee95e!2sCommunity%20Living%20British%20Columbia!5e0!3m2!1sen!2sca!4v1736310914059!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/disability.jpg,https://unsplash.com/photos/man-and-woman-kissing-on-beach-during-daytime-4s-D0CAI6UQ,,
Community Living BC,Developmental Disability,"Housing, home, living, apartment, homes, rental housing",All," North Vancouver
",#210 1200 Lynn Valley Road,V7J 2A2,clbcvancouver@gov.bc.ca,604-660-3323,,Active,"CLBC funds supports to help you get a job, learn new things, and enhance your quality of life by connecting to your community.
 Supports to live in your home
 CLBC funds different types of supports to live in your own place, with a roommate or family in shared living, or in a staffed home.",,,Free/Out of pocket,,"CLBC, a crown corporation, works with individuals, families, service providers, community and government partners to help people have lives filled with possibilities in welcoming communities.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2599.8553034016472!2d-123.04095029999999!3d49.3359582!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486700bb44d30a3%3A0x146885c907a6eb17!2sCommunity%20Living%20BC!5e0!3m2!1sen!2sca!4v1736311410879!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/community.jpg,https://unsplash.com/photos/four-person-holding-each-others-waist-at-daytime-0aMMMUjiiEQ,,
Comox Valley Head Injury Society,TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Vancouver island,Courtenay,"102-254 Simms Street, Courtenay, BC V9N 5W1",V9N 5W1,info.cvhis@gmail.com,250-334-9225,www.cvhis.org,Active,Caregivers support group and one-on-one counselling for family members.,English,Adults only,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2581.070587229315!2d-125.00012632316326!3d49.69064354177931!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5488138ac61f5ff9%3A0x7928c3ca69c90632!2sComox%20Valley%20Head%20Injury%20Society!5e0!3m2!1sen!2sca!4v1736289758359!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/injury2.jpg,https://unsplash.com/photos/man-in-black-crew-neck-t-shirt-holding-yellow-plastic-bottle-2I7cpvQ8Bqw,,
Cowichan Brain Injury Sociey,TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Vancouver island,Duncan,"6011 Cassino Rd. , Duncan BC, V9L 3X3",V9L3X3,admin@cowichanbraininjury.org,n/a,https://www.cowichanbraininjury.org/contact.html,Active,Monthly Caregivers Support Group 2nd Tuesday of the month 7-8:00 pm. Education Programs offered weekly. Case Management support for Brain Injury survivor and caregivers,English,Adults only,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d164.28901085902768!2d-123.73851196559679!3d48.789064819059654!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548f4f3657b5fa4d%3A0x1679e1e39c9af338!2s6011%20Cassino%20Rd%2C%20Duncan%2C%20BC%20V9L%204G5!5e0!3m2!1sen!2sca!4v1736289622826!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/trauma1.jpg,https://unsplash.com/photos/white-human-face-carved-on-white-wall-WdNTHwtGjv0,,
Cowichan Family Caregivers Support Society,All,"family, caregiving, residence, BC, british columbia, cowichan, duncan, island",Vancouver island,Duncan,"135 Third Street, Duncan",V9L 1R9,hello@familycaregiverssupport.org,(250) 597-0886,https://www.familycaregiverssupport.org/,Active,"Provides support and education to young caregivers who providing significant care to a family member. The need for care may include supporting a family member with physical or mental illness, disability, addiction or other difficulties such as financial issues or divorce.

Services include individual support and counselling, workshops, family counselling, First Nations family support, advocacy, and referrals to other service providers. Includes: one-on-one support, support groups, community resources and circles of support for any caregiver of any age caring for adult recipients living in Cowichan Valley. ",English,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10515.82203378356!2d-123.7193710630452!3d48.782739643059394!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548f457a25f00001%3A0xe6225fa0cfbd7454!2sCowichan%20Family%20Caregivers%20Support%20Society!5e0!3m2!1sen!2sca!4v1736311146327!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/family4.jpg,https://unsplash.com/photos/man-in-white-shirt-carrying-boy-wBgAVAGjzFg,,
Craig's Cause Pancreatic Cancer Society,Pancreatic Cancer,"pancreas, cancer, pancreatic, ",National,All,P.O. Box 8561,"Halifax, Nova Scotia ",info@craigscause.ca,1.877.212.9582,https://www.craigscause.ca/support,Active,"Pancreatic cancer guide, support group for caregivers, peer support for caregivers",english,Youth and adults,Free,Virtual only,,,images/pancreatic2.jpg,https://unsplash.com/photos/blue-and-black-round-illustration-u17jQ_hPWUY,,
Crohn's and Colitis,IBD (UC and CdD),"BD, ulcerative, colitis, crohn's, IBS, irritible bowel syndrome, irritible bowel disease, ulcerative colitis, crohn's disease, ostomy",All,Vancouver,PO Box 47147 City Square,V5Z 4L6,N/A,1-800-513-8202,https://crohnsandcolitis.ca/Location/British-Columbia-Yukon,Active,"MyGut App, Washroom Access, Information and Resources Hub, Service Finder, Expert Q&A, Support & Services","english, french",Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.8212781220286!2d-123.11979202318257!3d49.26083332230068!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673eea668c6fd%3A0xd7c4d2cf1a7f16d!2sVancouver%2C%20BC%20V5Z%204L6!5e0!3m2!1sen!2sca!4v1736289275550!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/celiac3.jpg,https://unsplash.com/photos/person-holding-bread-on-brown-wooden-table-4BOnTOTWWZc,,
Crohn's and Colitis Canada,"Crohn's disease, Ulcerative Colitis",inflammatory,National,,"PO Box 47147 City Square, Vancouver BC",V5Z 4L6,bc@crohnsandcolitis.ca,1-800-513-8202,https://crohnsandcolitis.ca/?region=British%20Columbia-Yukon,Active,Online support community and events. ,N/A,Youth and adults,Free,Both virtual/in-person,Inflammatory,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.8212781220286!2d-123.11979202318257!3d49.26083332230068!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673eea668c6fd%3A0xd7c4d2cf1a7f16d!2sVancouver%2C%20BC%20V5Z%204L6!5e0!3m2!1sen!2sca!4v1736288486865!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/stomach2.jpg,https://unsplash.com/photos/a-3d-image-of-a-human-with-a-red-circle-in-his-stomach-XChsbHDigQM,,
